r,P
0.00161,2.340777339010664e+17
0.0025924524524524525,2.339316935569862e+17
0.0035749049049049048,2.3378939663743757e+17
0.004557357357357358,2.3364047863771414e+17
0.00553980980980981,2.3347684361610154e+17
0.006522262262262262,2.332923964896831e+17
0.007504714714714715,2.3308277686664835e+17
0.008487167167167168,2.3284509307996874e+17
0.00946961961961962,2.3257765587486445e+17
0.010452072072072072,2.3227971176277133e+17
0.011434524524524524,2.3195117642365712e+17
0.012416976976976976,2.315923688216209e+17
0.01339942942942943,2.312037625905736e+17
0.014381881881881883,2.307858532179871e+17
0.015364334334334335,2.3033914105692966e+17
0.016346786786786787,2.2986413078817952e+17
0.01732923923923924,2.293613309636124e+17
0.01831169169169169,2.2883125356002086e+17
0.019294144144144144,2.282744135432427e+17
0.020276596596596596,2.2769132844295072e+17
0.021259049049049048,2.2708251793811283e+17
0.0222415015015015,2.2644850345334352e+17
0.023223953953953953,2.2578980776613005e+17
0.024206406406406405,2.251069546250166e+17
0.02518885885885886,2.2440046837889696e+17
0.026171311311311313,2.2367087361730432e+17
0.027153763763763765,2.229186948217973e+17
0.028136216216216217,2.2214445602845024e+17
0.02911866866866867,2.21348680501338e+17
0.03010112112112112,2.205318904171135e+17
0.031083573573573574,2.196946065605244e+17
0.032066026026026026,2.1883734803084125e+17
0.03304847847847848,2.17960631959123e+17
0.03403093093093093,2.170649732362689e+17
0.03501338338338338,2.161508842517239e+17
0.035995835835835835,2.1521887464266083e+17
0.03697828828828829,2.1426945105374166e+17
0.03796074074074074,2.1330311690700294e+17
0.03894319319319319,2.123203721820784e+17
0.039925645645645644,2.1132171320634048e+17
0.040908098098098096,2.1030763245495728e+17
0.04189055055055055,2.092786183606613e+17
0.042873003003003,2.082351551330675e+17
0.04385545545545545,2.071777225873942e+17
0.044837907907907905,2.0610679598233088e+17
0.04582036036036036,2.0502284586703178e+17
0.04680281281281281,2.039263379368553e+17
0.04778526526526526,2.028177328978271e+17
0.04876771771771772,2.016974863395301e+17
0.04975017017017017,2.0056604861629152e+17
0.050732622622622625,1.994238647364227e+17
0.05171507507507508,1.9827137425936538e+17
0.05269752752752753,1.9710901120049254e+17
0.05367997997997998,1.9593720394339296e+17
0.054662432432432434,1.9475637515944173e+17
0.055644884884884886,1.935669417344512e+17
0.05662733733733734,1.9236931470217766e+17
0.05760978978978979,1.9116389918450557e+17
0.05859224224224224,1.8995109433812298e+17
0.059574694694694695,1.887312933074511e+17
0.06055714714714715,1.875048831836485e+17
0.0615395995995996,1.8627224496949437e+17
0.06252205205205205,1.850337535499351e+17
0.0635045045045045,1.8378977766816192e+17
0.06448695695695696,1.82540679906897e+17
0.06546940940940942,1.8128681667486518e+17
0.06645186186186186,1.800285381981333e+17
0.06743431431431432,1.7876618851616547e+17
0.06841676676676677,1.775001054824595e+17
0.06939921921921922,1.7623062076950963e+17
0.07038167167167167,1.7495805987797302e+17
0.07136412412412413,1.7368274214983194e+17
0.07234657657657657,1.7240498078542266e+17
0.07332902902902903,1.7112508286409427e+17
0.07431148148148148,1.698433493683801e+17
0.07529393393393394,1.6856007521155654e+17
0.07627638638638638,1.6727554926829942e+17
0.07725883883883884,1.659900544084569e+17
0.07824129129129129,1.6470386753363386e+17
0.07922374374374375,1.6341725961653414e+17
0.08020619619619619,1.6213049574287405e+17
0.08118864864864865,1.6084383515574134e+17
0.0821711011011011,1.5955753130226906e+17
0.08315355355355356,1.5827183188243184e+17
0.084136006006006,1.5698697889997e+17
0.08511845845845846,1.5570320871511325e+17
0.0861009109109109,1.5442075209919478e+17
0.08708336336336336,1.5313983429086666e+17
0.08806581581581581,1.5186067505390502e+17
0.08904826826826827,1.505834887364277e+17
0.09003072072072071,1.493084843314775e+17
0.09101317317317317,1.4803586553878563e+17
0.09199562562562562,1.4676583082770387e+17
0.09297807807807808,1.454985735011285e+17
0.09396053053053052,1.4423428176035552e+17
0.09494298298298298,1.4297313877079923e+17
0.09592543543543544,1.4171532272842365e+17
0.09690788788788789,1.4046100692685454e+17
0.09789034034034035,1.3921035982506475e+17
0.09887279279279279,1.3796354511556354e+17
0.09985524524524525,1.367207217930072e+17
0.1008376976976977,1.3548204422315507e+17
0.10182015015015015,1.342476622121099e+17
0.1028026026026026,1.3301772107577701e+17
0.10378505505505506,1.3179236170945118e+17
0.1047675075075075,1.3057172065751594e+17
0.10574995995995996,1.2935593018314533e+17
0.10673241241241241,1.2814511833799029e+17
