r,rho
0.00161,150.27182647422157
0.0025924524524524525,150.23197435262065
0.0035749049049049048,150.17583878305413
0.004557357357357358,150.10266281466647
0.00553980980980981,150.01176278595585
0.006522262262262262,149.9025271806033
0.007504714714714715,149.77441539958812
0.008487167167167168,149.62695644396257
0.00946961961961962,149.45974750410772
0.010452072072072072,149.2724524526974
0.011434524524524524,149.06480023989374
0.012416976976976976,148.836583190484
0.01339942942942943,148.58765519253154
0.014381881881881883,148.31792970953208
0.015364334334334335,148.02737761953253
0.016346786786786787,147.7160249566922
0.01732923923923924,147.3839505721803
0.01831169169169169,147.03128372035533
0.019294144144144144,146.65820157671791
0.020276596596596596,146.2649266946575
0.021259049049049048,145.85172440841578
0.0222415015015015,145.4189001900368
0.023223953953953953,144.96679696830915
0.024206406406406405,144.49579241786807
0.02518885885885886,144.00629622670976
0.026171311311311313,143.49874735037181
0.027153763763763765,142.9736112609746
0.028136216216216217,142.4313771991863
0.02911866866866867,141.87255543698257
0.03010112112112112,141.29767455883615
0.031083573573573574,140.7072787686698
0.032066026026026026,140.10192522957541
0.03304847847847848,139.4821814429248
0.03403093093093093,138.84862267310638
0.03501338338338338,138.2018294236715
0.035995835835835835,137.5423849702459
0.03697828828828829,136.87087295508198
0.03796074074074074,136.18787504766783
0.03894319319319319,135.4939686753277
0.039925645645645644,134.78972482727372
0.040908098098098096,134.07570593510383
0.04189055055055055,133.3524638332933
0.042873003003003,132.62053794451313
0.04385545545545545,131.88045439181812
0.044837907907907905,131.132725889039
0.04582036036036036,130.37785174069109
0.04680281281281281,129.6163178627259
0.04778526526526526,128.8485968227062
0.04876771771771772,128.07514789822892
0.04975017017017017,127.2964171524442
0.050732622622622625,126.51283752555516
0.05171507507507508,125.72482894120849
0.05269752752752753,124.9327984267394
0.05367997997997998,124.13714024624429
0.054662432432432434,123.33823604551667
0.055644884884884886,122.53645500789433
0.05662733733733734,121.73215402011746
0.05760978978978979,120.92567784732586
0.05859224224224224,120.11735931635887
0.059574694694694695,119.30751950656582
0.06055714714714715,118.49646794735317
0.0615395995995996,117.68450282174439
0.06252205205205205,116.87191117526102
0.0635045045045045,116.05896912945222
0.06448695695695696,115.2459420994545
0.06546940940940942,114.43308501497863
0.06645186186186186,113.6206425441602
0.06743431431431432,112.80884931973719
0.06841676676676677,111.99793016705401
0.06939921921921922,111.18810033340716
0.07038167167167167,110.37956571829625
0.07136412412412413,109.57252310414698
0.07234657657657657,108.76716038712158
0.07332902902902903,107.9636568076413
0.07431148148148148,107.16218318027806
0.07529393393393394,106.36290212269529
0.07627638638638638,105.56596828333778
0.07725883883883884,104.77152856759228
0.07824129129129129,103.97972236216916
0.07922374374374375,103.19068175745828
