r,X_7Be
0.00161,1.5798566891706438e-11
0.0025924524524524525,1.578239031538346e-11
0.0035749049049049048,1.5762108354692902e-11
0.004557357357357358,1.573765356846024e-11
0.00553980980980981,1.5708962303129866e-11
0.006522262262262262,1.5675974888806693e-11
0.007504714714714715,1.5638635832814327e-11
0.008487167167167168,1.559689401012801e-11
0.00946961961961962,1.5550702850033644e-11
0.010452072072072072,1.5500020518347823e-11
0.011434524524524524,1.544481009452377e-11
0.012416976976976976,1.5385040098931345e-11
0.01339942942942943,1.5320692616704422e-11
0.014381881881881883,1.5251763361105337e-11
0.015364334334334335,1.5178253628083683e-11
0.016346786786786787,1.510017000867404e-11
0.01732923923923924,1.501752446869302e-11
0.01831169169169169,1.4930334418908734e-11
0.019294144144144144,1.4838622775259406e-11
0.020276596596596596,1.474241800871306e-11
0.021259049049049048,1.4641754184388383e-11
0.0222415015015015,1.4536670989573647e-11
0.023223953953953953,1.4427213750311684e-11
0.024206406406406405,1.4313433436244657e-11
0.02518885885885886,1.419538665344256e-11
0.026171311311311313,1.4073135624971646e-11
0.027153763763763765,1.3946748158991996e-11
0.028136216216216217,1.3816297604210654e-11
0.02911866866866867,1.3681862792551118e-11
0.03010112112112112,1.3543527968942645e-11
0.031083573573573574,1.3401382708168619e-11
0.032066026026026026,1.3255521818758165e-11
0.03304847847847848,1.3106045233946976e-11
0.03403093093093093,1.2953057889774177e-11
0.03501338338338338,1.2796669590432723e-11
0.035995835835835835,1.2636994861028091e-11
0.03697828828828829,1.247415278795157e-11
0.03796074074074074,1.2308266847118353e-11
0.03894319319319319,1.2139464720364349e-11
0.039925645645645644,1.1967878100346162e-11
0.040908098098098096,1.1793642484327578e-11
0.04189055055055055,1.161689958784864e-11
0.042873003003003,1.143783619670325e-11
0.04385545545545545,1.125667276791544e-11
0.044837907907907905,1.1073628509682181e-11
0.04582036036036036,1.0888920005083147e-11
0.04680281281281281,1.0702760858200517e-11
0.04778526526526526,1.0515361358289793e-11
0.04876771771771772,1.032692816241891e-11
0.04975017017017017,1.0137663996910722e-11
0.050732622622622625,9.947767377850093e-12
0.05171507507507508,9.757432350835161e-12
0.05269752752752753,9.56684825008183e-12
0.05367997997997998,9.376199476916931e-12
0.054662432432432434,9.18566529762724e-12
0.055644884884884886,8.99541966056406e-12
0.05662733733733734,8.805631032342246e-12
0.05760978978978979,8.616462252911333e-12
0.05859224224224224,8.428070409218952e-12
0.059574694694694695,8.240606727137082e-12
0.06055714714714715,8.05421648126798e-12
0.0615395995995996,7.869038922206108e-12
0.06252205205205205,7.685207220784154e-12
0.0635045045045045,7.502848428798705e-12
0.06448695695695696,7.322083455673011e-12
0.06546940940940942,7.143027060483738e-12
0.06645186186186186,6.96578785875217e-12
0.06743431431431432,6.7904683433763106e-12
0.06841676676676677,6.6171649190586295e-12
0.06939921921921922,6.445967949570027e-12
0.07038167167167167,6.2769618171744245e-12
0.07136412412412413,6.110224993529468e-12
0.07234657657657657,5.9458301213722245e-12
0.07332902902902903,5.783844106292834e-12
0.07431148148148148,5.624328217899905e-12
0.07529393393393394,5.4673381996807525e-12
0.07627638638638638,5.3129243868658046e-12
0.07725883883883884,5.161131831610542e-12
0.07824129129129129,5.0120004348197425e-12
0.07922374374374375,4.865565083946517e-12
0.08020619619619619,4.721855796114818e-12
0.08118864864864865,4.580897865925282e-12
0.0821711011011011,4.442712017323185e-12
0.08315355355355356,4.307314558923587e-12
0.084136006006006,4.17471754220785e-12
0.08511845845845846,4.044928922026458e-12
0.0861009109109109,3.917952718863671e-12
0.08708336336336336,3.79378918234193e-12
0.08806581581581581,3.672434955467255e-12
0.08904826826826827,3.5538832391384078e-12
0.09003072072072071,3.438123956469851e-12
0.09101317317317317,3.3251439164984945e-12
0.09199562562562562,3.214926976873005e-12
0.09297807807807808,3.107454205145367e-12
0.09396053053053052,3.0027040383111395e-12
0.09494298298298298,2.900652460711563e-12
0.09592543543543544,2.8012744567327453e-12
0.09690788788788789,2.7045447163841393e-12
0.09789034034034035,2.610435634806735e-12
0.09887279279279279,2.5189172851786808e-12
0.09985524524524525,2.429957594470105e-12
0.1008376976976977,2.343522514677393e-12
0.10182015015015015,2.2595761892989908e-12
0.1028026026026026,2.178081114847081e-12
0.10378505505505506,2.098998297218341e-12
