r,nu Be7
0.00161,1.4170490036717523e-05
0.0025924524524524525,3.2756842303808336e-05
0.0035749049049049048,5.9645871976049745e-05
0.004557357357357358,9.441492333857921e-05
0.00553980980980981,0.00013709353715723327
0.006522262262262262,0.00018754755846054404
0.007504714714714715,0.0002453375246315319
0.008487167167167168,0.00031015928088174544
0.00946961961961962,0.00038190220584183006
0.010452072072072072,0.0004605268823118702
0.011434524524524524,0.0005459258488529765
0.012416976976976976,0.000637853844926444
0.01339942942942943,0.0007359874699657959
0.014381881881881883,0.0008400076028601636
0.015364334334334335,0.0009495993737669408
0.016346786786786787,0.0010644319106270011
0.01732923923923924,0.0011841382137814166
0.01831169169169169,0.0013083007092221477
0.019294144144144144,0.0014364476887167674
0.020276596596596596,0.0015680654370092734
0.021259049049049048,0.0017026281990841418
0.0222415015015015,0.0018396269053748263
0.023223953953953953,0.0019785775664128633
0.024206406406406405,0.002119023001935536
0.02518885885885886,0.002260532749973294
0.026171311311311313,0.0024027015402208764
0.027153763763763765,0.002545146671896794
0.028136216216216217,0.0026875046310270035
0.02911866866866867,0.0028294272647744353
0.03010112112112112,0.002970577805259835
0.031083573573573574,0.003110627005601014
0.032066026026026026,0.0032492496190752724
0.03304847847847848,0.003386121420009669
0.03403093093093093,0.003520916933165279
0.03501338338338338,0.0036533080074025556
0.035995835835835835,0.0037829633393151874
0.03697828828828829,0.003909549023090392
0.03796074074074074,0.0040327301737972335
0.03894319319319319,0.004152173642361547
0.039925645645645644,0.004267551811528444
0.040908098098098096,0.004378547433230034
0.04189055055055055,0.0044848594356457355
0.042873003003003,0.004586209068987805
0.04385545545545545,0.004682343474419637
0.044837907907907905,0.004773036561563818
0.04582036036036036,0.004858089353076052
0.04680281281281281,0.004937330108059396
0.04778526526526526,0.005010614238636317
0.04876771771771772,0.005077824034579991
0.04975017017017017,0.005138868211863108
0.050732622622622625,0.00519368130163067
0.05171507507507508,0.005242222896465139
0.05269752752752753,0.005284476770913909
0.05367997997997998,0.0053204498931179196
0.054662432432432434,0.005350171344043237
0.055644884884884886,0.005373691160305486
0.05662733733733734,0.0053910791159142496
0.05760978978978979,0.00540242345748177
0.05859224224224224,0.005407829606559614
0.059574694694694695,0.005407418841815218
0.06055714714714715,0.005401326972757023
0.0615395995995996,0.005389703015684652
0.06252205205205205,0.005372707881494456
0.0635045045045045,0.005350513083930215
0.06448695695695696,0.005323299475843248
0.06546940940940942,0.005291256020031373
0.06645186186186186,0.005254578600268395
0.06743431431431432,0.0052134688772252896
0.06841676676676677,0.005168133193125724
0.06939921921921922,0.005118781528176419
0.07038167167167167,0.005065626511071345
0.07136412412412413,0.005008882485188303
0.07234657657657657,0.004948764631478326
0.07332902902902903,0.004885488148492073
0.07431148148148148,0.004819267489492613
0.07529393393393394,0.004750315656166612
0.07627638638638638,0.004678843548067193
0.07725883883883884,0.004605059366594839
0.07824129129129129,0.004529168072047457
0.07922374374374375,0.004451370892042475
0.08020619619619619,0.004371864879428969
0.08118864864864865,0.004290842517663101
0.0821711011011011,0.004208491371511766
0.08315355355355356,0.004124993780873835
0.084136006006006,0.004040526595461629
0.08511845845845846,0.003955260948065019
0.0861009109109109,0.003869362064122084
0.08708336336336336,0.0037829891053420828
0.08806581581581581,0.003696295045164117
0.08904826826826827,0.0036094265738869013
0.09003072072072071,0.003522524031368408
