r,nu pp
0.00161,2.9156439132052984e-06
0.0025924524524524525,6.661781353794156e-06
0.0035749049049049048,1.2140629664060725e-05
0.004557357357357358,1.9280858762148942e-05
0.00553980980980981,2.8073066761861654e-05
0.006522262262262262,3.8487739560332224e-05
0.007504714714714715,5.045645183270259e-05
0.008487167167167168,6.395341992528007e-05
0.00946961961961962,7.900130447422777e-05
0.010452072072072072,9.564076341936437e-05
0.011434524524524524,0.00011389709183425268
0.012416976976976976,0.00013376322256692573
0.01339942942942943,0.00015521308072083273
0.014381881881881883,0.00017822119778125727
0.015364334334334335,0.0002027639148581511
0.016346786786786787,0.0002288159830048029
0.01732923923923924,0.00025634694051157077
0.01831169169169169,0.0002853183144905377
0.019294144144144144,0.00031568269466845825
0.020276596596596596,0.0003473857236801956
0.021259049049049048,0.0003803716067317596
0.0222415015015015,0.0004145885389374242
0.023223953953953953,0.0004499902157952949
0.024206406406406405,0.00048653601560088964
0.02518885885885886,0.000524190789983835
0.026171311311311313,0.0005629243312772192
0.027153763763763765,0.0006027105777324238
0.028136216216216217,0.0006435266180030158
0.02911866866866867,0.0006853515548619025
0.03010112112112112,0.0007281652855995282
0.031083573573573574,0.000771947253608954
0.032066026026026026,0.0008166752227408238
0.03304847847847848,0.0008623241233772169
0.03403093093093093,0.0009088650169443179
0.03501338338338338,0.0009562642237482
0.035995835835835835,0.0010044826574668983
0.03697828828828829,0.0010534754081876626
0.03796074074074074,0.001103191614324249
0.03894319319319319,0.001153574661859663
0.039925645645645644,0.0012045627469272795
0.040908098098098096,0.0012560898346070197
0.04189055055055055,0.00130808704175227
0.042873003003003,0.0013604842998676972
0.04385545545545545,0.0014132114037959788
0.044837907907907905,0.0014661983337175952
0.04582036036036036,0.001519375471446342
0.04680281281281281,0.0015726738000756918
0.04778526526526526,0.001626025086954321
0.04876771771771772,0.0016793620499538687
0.04975017017017017,0.0017326185071716066
0.050732622622622625,0.0017857295103721814
0.05171507507507508,0.0018386314626144854
0.05269752752752753,0.0018912622206334925
0.05367997997997998,0.0019435611826518532
0.054662432432432434,0.001995469362383201
0.055644884884884886,0.0020469294500596517
0.05662733733733734,0.0020978858613700277
0.05760978978978979,0.0021482847752345323
0.05859224224224224,0.0021980741613670603
0.059574694694694695,0.0022472037985888644
0.06055714714714715,0.0022956252848583968
0.0615395995995996,0.0023432920399731206
0.06252205205205205,0.0023901593018803855
0.0635045045045045,0.002436184117508708
0.06448695695695696,0.0024813253289969165
0.06546940940940942,0.0025255435561602245
0.06645186186186186,0.0025688011759877733
0.06743431431431432,0.002611062299918546
0.06841676676676677,0.002652292749591599
0.06939921921921922,0.0026924600317128167
0.07038167167167167,0.0027315333126255053
0.07136412412412413,0.0027694833931160207
0.07234657657657657,0.002806282683928855
0.07332902902902903,0.0028419051824090094
0.07431148148148148,0.0028763264506335043
0.07529393393393394,0.002909523595338079
0.07627638638638638,0.0029414752498915352
0.07725883883883884,0.0029721615585170348
