r,nu pep
0.00161,4.525923366189887e-06
0.0025924524524524525,1.039950297894672e-05
0.0035749049049049048,1.9034270942900736e-05
0.004557357357357358,3.0189145186675536e-05
0.00553980980980981,4.3763211786901196e-05
0.006522262262262262,5.981591330513136e-05
0.007504714714714715,7.842682219389926e-05
0.008487167167167168,9.95964372570116e-05
0.00946961961961962,0.00012325072750506825
0.010452072072072072,0.00014931175545481807
0.011434524524524524,0.00017770900788487178
0.012416976976976976,0.00020837791789582002
0.01339942942942943,0.000241267555730094
0.014381881881881883,0.00027634638763418735
0.015364334334334335,0.0003135949460377802
0.016346786786786787,0.0003529945255578053
0.01732923923923924,0.0003945160445576064
0.01831169169169169,0.00043811138618495726
0.019294144144144144,0.00048370947607330304
0.020276596596596596,0.0005312193142969303
0.021259049049049048,0.0005805411926737744
0.0222415015015015,0.0006315780387401928
0.023223953953953953,0.0006842384233461787
0.024206406406406405,0.0007384369986158305
0.02518885885885886,0.0007940944009718936
0.026171311311311313,0.0008511367181428802
0.027153763763763765,0.0009094946010655719
0.028136216216216217,0.0009691021038802393
0.02911866866866867,0.0010298953346178962
0.03010112112112112,0.0010918109966867482
0.031083573573573574,0.0011547848976717946
0.032066026026026026,0.0012187504978512461
0.03304847847847848,0.0012836375665867957
0.03403093093093093,0.0013493710105614842
0.03501338338338338,0.0014158699337669049
0.035995835835835835,0.0014830469851117216
0.03697828828828829,0.001550808045386025
0.03796074074074074,0.0016190523008777766
0.03894319319319319,0.0016876727459970869
0.039925645645645644,0.001756557151646979
0.040908098098098096,0.0018255895296701487
0.04189055055055055,0.0018946521150099746
0.042873003003003,0.0019636276643714944
0.04385545545545545,0.0020324009131531223
0.044837907907907905,0.002100859064241547
0.04582036036036036,0.002168892121664947
0.04680281281281281,0.0022363931856594827
0.04778526526526526,0.0023032587100555624
0.04876771771771772,0.002369388722973874
0.04975017017017017,0.0024346870121314547
0.050732622622622625,0.002499061276321313
0.05171507507507508,0.0025624232448456467
0.05269752752752753,0.0026246887668547746
0.05367997997997998,0.00268577787267494
0.054662432432432434,0.002745614809299245
0.055644884884884886,0.0028041280522724432
0.05662733733733734,0.0028612502962237357
0.05760978978978979,0.0029169184262961487
0.05859224224224224,0.002971073472690093
0.059574694694694695,0.0030236605504854568
0.06055714714714715,0.00307462878683353
0.0615395995995996,0.0031239312375222644
0.06252205205205205,0.0031715247948158358
0.0635045045045045,0.0032173700883580923
0.06448695695695696,0.0032614313808088696
0.06546940940940942,0.0033036764597566886
0.06645186186186186,0.0033440765273217814
0.06743431431431432,0.003382606088732073
0.06841676676676677,0.003419242841023625
0.06939921921921922,0.0034539675628862637
0.07038167167167167,0.0034867640065474226
0.07136412412412413,0.003517618792462765
0.07234657657657657,0.0035465213074616993
0.07332902902902903,0.003573463606880233
0.07431148148148148,0.0035984403211045185
0.07529393393393394,0.003621448566843399
0.07627638638638638,0.0036424878633514344
0.07725883883883884,0.0036615600537323427
0.07824129129129129,0.003678669231367855
0.07922374374374375,0.0036938216714397956
0.08020619619619619,0.0037070257674415128
0.08118864864864865,0.0037182919725107506
0.0821711011011011,0.0037276327453580143
0.08315355355355356,0.0037350625005136942
0.084136006006006,0.00374059756257222
0.08511845845845846,0.0037442561240731797
0.0861009109109109,0.0037460582066272635
0.08708336336336336,0.0037460256248684153
0.08806581581581581,0.003744181952793346
0.08904826826826827,0.0037405524920345406
0.09003072072072071,0.0037351642416038502
0.09101317317317317,0.0037280458686391686
0.09199562562562562,0.003719227679688183
0.09297807807807808,0.003708741592068377
0.09396053053053052,0.003696621104853211
0.09494298298298298,0.0036829012690469424
0.09592543543543544,0.0036676186539227862
0.09690788788788789,0.0036508112835466964
0.09789034034034035,0.003632518533018204
0.09887279279279279,0.0036127810167227788
0.09985524524524525,0.0035916404771792363
0.1008376976976977,0.0035691396748827567
0.10182015015015015,0.0035453222794291756
0.1028026026026026,0.0035202327621886246
0.10378505505505506,0.0034939162907793144
0.1047675075075075,0.0034664186255737154
0.10574995995995996,0.0034377860184522753
0.10673241241241241,0.003408065114001567
0.10771486486486487,0.003377302853336323
0.10869731731731731,0.0033455463807074578
0.10967976976976977,0.003312842953041091
0.11066222222222222,0.0032792398525365806
0.11164467467467468,0.003244784302435707
0.11262712712712712,0.003209523386058782
0.11360957957957958,0.003173503969188362
0.11459203203203203,0.003136772625866328
0.11557448448448449,0.003099375567655615
0.11655693693693693,0.0030613585764046013
0.11753938938938939,0.003022766940538533
0.11852184184184184,0.0029836453948904698
0.1195042942942943,0.0029440380640720623
0.12048674674674674,0.0029039884093735773
0.1214691991991992,0.0028635391791718393
0.12245165165165164,0.0028227323628155837
0.1234341041041041,0.0027816091479476905
0.12441655655655655,0.002740209881216199
0.125399009009009,0.0026985740323176256
0.12638146146146145,0.0026567401613092506
0.1273639139139139,0.0026147458891203706
0.12834636636636637,0.0025726278711867535
0.12932881881881883,0.002530421774127175
0.13031127127127126,0.00248816225537623
0.13129372372372372,0.0024458829456835214
0.13227617617617618,0.0024036164343857287
0.13325862862862864,0.0023613942573550554
0.13424108108108107,0.0023192468875249395
0.13522353353353353,0.0022772037278919292
0.136205985985986,0.002235293106891031
0.13718843843843845,0.0021935422760405807
0.13817089089089088,0.0021519774097520776
0.13915334334334334,0.0021106236071999694
0.1401357957957958,0.0020695048961463596
0.14111824824824826,0.0020286442386160644
0.1421007007007007,0.001988063538317964
0.14308315315315315,0.001947783649709652
0.1440656056056056,0.0019078243886035222
0.14504805805805807,0.00186820454421401
0.1460305105105105,0.0018289418925471965
