r,X_N16
0.00161,0.0060612740130735416
0.0025924524524524525,0.006065091673216812
0.0035749049049049048,0.006068447996997842
0.004557357357357358,0.006071422853023467
0.00553980980980981,0.006074096351065623
0.006522262262262262,0.006076548796865848
0.007504714714714715,0.006078860657523175
0.008487167167167168,0.006081112537515462
0.00946961961961962,0.006083385165392788
0.010452072072072072,0.006085759391175049
0.011434524524524524,0.006088316194482613
0.012416976976976976,0.006091134743444092
0.01339942942942943,0.006094248348021903
0.014381881881881883,0.006097643844833004
0.015364334334334335,0.006101306012724078
0.016346786786786787,0.006105219629266515
0.01732923923923924,0.006109369464191893
0.01831169169169169,0.006113740273213729
0.019294144144144144,0.006118316792234321
0.020276596596596596,0.006123083731936585
0.021259049049049048,0.006128025772760774
0.0222415015015015,0.006133127560266529
0.023223953953953953,0.006138373700880988
0.024206406406406405,0.006143748758034
0.02518885885885886,0.00614923724868174
0.026171311311311313,0.006154823640220462
0.027153763763763765,0.0061604923477920895
0.028136216216216217,0.006166227731983791
0.02911866866866867,0.006172014096923674
0.03010112112112112,0.006177835688775051
0.031083573573573574,0.006183676694631785
0.032066026026026026,0.006189521241817115
0.03304847847847848,0.006195353397589006
0.03403093093093093,0.006201157169254182
0.03501338338338338,0.006206916504694104
0.035995835835835835,0.006212615293305132
0.03697828828828829,0.006218237367355682
0.03796074074074074,0.006223766503762879
0.03894319319319319,0.006229186426291229
0.039925645645645644,0.006234480808175402
0.040908098098098096,0.006239633275169339
0.04189055055055055,0.0062446280114901555
0.042873003003003,0.006249458910533036
0.04385545545545545,0.006254127759501166
0.044837907907907905,0.006258636592001275
0.04582036036036036,0.006262987460964823
0.04680281281281281,0.006267182438082718
0.04778526526526526,0.006271223613244976
0.04876771771771772,0.00627511309398587
0.04975017017017017,0.006278853004934368
0.050732622622622625,0.006282445487270386
0.05171507507507508,0.006285892698186841
0.05269752752752753,0.006289196810357738
0.05367997997997998,0.0062923600114124425
0.054662432432432434,0.006295384503416381
0.055644884884884886,0.006298272502358147
0.05662733733733734,0.006301026237643391
0.05760978978978979,0.006303647951595508
0.05859224224224224,0.006306139898963226
0.059574694694694695,0.006308504346435449
0.06055714714714715,0.006310743572163143
0.0615395995995996,0.006312859865288806
0.06252205205205205,0.006314855525483267
0.0635045045045045,0.006316732862490172
0.06448695695695696,0.006318494195678242
0.06546940940940942,0.006320141853601274
0.06645186186186186,0.0063216781735661465
0.06743431431431432,0.0063231055012089015
0.06841676676676677,0.006324426190078886
0.06939921921921922,0.006325642601231214
0.07038167167167167,0.006326757102827526
0.07136412412412413,0.006327772069745135
0.07234657657657657,0.006328689883194675
0.07332902902902903,0.00632951293034632
0.07431148148148148,0.00633024360396466
0.07529393393393394,0.006330884302052215
0.07627638638638638,0.006331437427501808
0.07725883883883884,0.006331905387757687
0.07824129129129129,0.006332290594485577
0.07922374374374375,0.006332595463251613
0.08020619619619619,0.00633282241321041
0.08118864864864865,0.0063329738668019215
0.0821711011011011,0.006333052249457642
0.08315355355355356,0.006333059989315681
0.084136006006006,0.006332999516945216
0.08511845845845846,0.006332873265079951
0.0861009109109109,0.006332683668360911
0.08708336336336336,0.0063324331630883425
0.08806581581581581,0.006332124186983151
0.08904826826826827,0.006331759178957277
0.09003072072072071,0.006331340578893695
0.09101317317317317,0.006330870827435532
0.09199562562562562,0.006330352365784721
0.09297807807807808,0.006329787635509815
0.09396053053053052,0.00632917907836326
0.09494298298298298,0.00632852912788036
0.09592543543543544,0.0063278396670115806
0.09690788788788789,0.006327111691203403
0.09789034034034035,0.006326346115670971
0.09887279279279279,0.006325543855874039
0.09985524524524525,0.00632470582746357
0.1008376976976977,0.006323832946229821
0.10182015015015015,0.006322926128051455
0.1028026026026026,0.006321986288846245
0.10378505505505506,0.00632101434452288
0.1047675075075075,0.00632001121093419
0.10574995995995996,0.00631897780383168
0.10673241241241241,0.006317915038821344
0.10771486486486487,0.006316823831320822
0.10869731731731731,0.006315705096517842
