r,nu F17
0.00161,3.1824036146388514e-05
0.0025924524524524525,7.442234775421515e-05
0.0035749049049049048,0.00013546196530469682
0.004557357357357358,0.0002135754302779483
0.00553980980980981,0.00030904366311016915
0.006522262262262262,0.00042175790818231313
0.007504714714714715,0.0005505246032769061
0.008487167167167168,0.0006942256861849274
0.00946961961961962,0.0008520594206959118
0.010452072072072072,0.0010233514943098004
0.011434524524524524,0.001207317226970026
0.012416976976976976,0.001402944697494467
0.01339942942942943,0.001609112191420665
0.014381881881881883,0.0018247361738347938
0.015364334334334335,0.0020487566196026167
0.016346786786786787,0.002280083587416791
0.01732923923923924,0.0025175475360030945
0.01831169169169169,0.002759866798292519
0.019294144144144144,0.0030056438887940034
0.020276596596596596,0.003253400403925834
0.021259049049049048,0.003501653172240022
0.0222415015015015,0.003748984990206224
0.023223953953953953,0.0039940662429214
0.024206406406406405,0.004235660757480159
0.02518885885885886,0.004472627454252958
0.026171311311311313,0.0047039187496264005
0.027153763763763765,0.004928576538933641
0.028136216216216217,0.0051457265515576795
0.02911866866866867,0.005354571802824741
0.03010112112112112,0.005554385780218022
0.031083573573573574,0.0057445059034958055
0.032066026026026026,0.005924327696282628
0.03304847847847848,0.006093300005503497
0.03403093093093093,0.006250921507924446
0.03501338338338338,0.006396738652059032
0.035995835835835835,0.006530345099905037
0.03697828828828829,0.006651382656909862
0.03796074074074074,0.006759543610443258
0.03894319319319319,0.00685457433701387
0.039925645645645644,0.0069362799866981685
0.040908098098098096,0.0070045300101118126
0.04189055055055055,0.0070592642538020965
0.042873003003003,0.007100498545051125
0.04385545545545545,0.007128325514469617
0.044837907907907905,0.007142910962112799
0.04582036036036036,0.007144489274386694
0.04680281281281281,0.0071333584440858395
0.04778526526526526,0.007109874782485936
0.04876771771771772,0.007074447408152347
0.04975017017017017,0.00702753259284604
0.050732622622622625,0.0069696280397494445
0.05171507507507508,0.006901267163390273
0.05269752752752753,0.006823013434298413
0.05367997997997998,0.0067354548447635925
0.054662432432432434,0.0066391985452251
0.055644884884884886,0.006534865693964022
0.05662733733733734,0.006423086556002654
0.05760978978978979,0.006304495880553231
0.05859224224224224,0.006179728580084283
0.059574694694694695,0.006049415728159669
0.06055714714714715,0.0059141808877046405
0.0615395995995996,0.005774636776307028
0.06252205205205205,0.005631382270590356
0.0635045045045045,0.005484999747619061
0.06448695695695696,0.005336052757708757
0.06546940940940942,0.005185084019916724
0.06645186186186186,0.005032613728859807
0.06743431431431432,0.004879138159331384
0.06841676676676677,0.004725128553438792
0.06939921921921922,0.004571030273628563
0.07038167167167167,0.00441726220397765
0.07136412412412413,0.004264216381470957
0.07234657657657657,0.004112257838624999
0.07332902902902903,0.003961724638719751
0.07431148148148148,0.0038129280850342983
0.07529393393393394,0.003666153085811369
0.07627638638638638,0.003521658657174775
0.07725883883883884,0.0033796785468588387
0.07824129129129129,0.003240421962357541
0.07922374374374375,0.0031040743879359014
0.08020619619619619,0.002970798475846038
0.08118864864864865,0.0028407349980355905
0.0821711011011011,0.0027140038456081885
0.08315355355355356,0.0025907050642799932
0.084136006006006,0.002470919915058615
0.08511845845845846,0.0023547119503402087
0.0861009109109109,0.002242128096567557
0.08708336336336336,0.0021331997355083124
0.08806581581581581,0.002027943777092488
0.08904826826826827,0.001926363717586422
0.09003072072072071,0.0018284506776738148
0.09101317317317317,0.0017341844157595396
0.09199562562562562,0.0016435343125086686
0.09297807807807808,0.001556460323279259
0.09396053053053052,0.001472913895704426
0.09494298298298298,0.0013928388502257927
0.09592543543543544,0.0013161722209430434
0.09690788788788789,0.0012428450471444524
0.09789034034034035,0.001172783114842766
0.09887279279279279,0.0011059076618235174
0.09985524524524525,0.0010421360481652948
0.1008376976976977,0.0009813823911333937
0.10182015015015015,0.0009235581636738743
0.1028026026026026,0.0008685727560699938
0.10378505505505506,0.0008163340006288173
0.1047675075075075,0.0007667486595421535
0.10574995995995996,0.000719722876313773
0.10673241241241241,0.0006751625913644743
0.10771486486486487,0.000632973922619101
0.10869731731731731,0.0005930635120462425
0.10967976976976977,0.0005553388392630559
0.11066222222222222,0.0005197085034360944
0.11164467467467468,0.0004860824748055339
0.11262712712712712,0.0004543723172360931
0.11360957957957958,0.00042449138325521086
0.11459203203203203,0.00039635498307875286
0.11557448448448449,0.00036988052914848263
0.11655693693693693,0.00034498765771535803
0.11753938938938939,0.00032159832899952465
0.11852184184184184,0.00029963690744361297
0.1195042942942943,0.00027903022355150466
0.12048674674674674,0.0002597076187718195
0.1214691991991992,0.00024160097484500115
0.12245165165165164,0.00022464472898635774
0.1234341041041041,0.00020877587622566504
0.12441655655655655,0.00019393396016826757
0.125399009009009,0.00018006105338358466
0.12638146146146145,0.00016710172856573087
0.1273639139139139,0.00015500302154810403
0.12834636636636637,0.00014371438719016182
0.12932881881881883,0.00013318764909067997
0.13031127127127126,0.00012337694401820407
0.13129372372372372,0.00011423866188657655
0.13227617617617618,0.00010573138204181356
0.13325862862862864,9.781580656652575e-05
0.13424108108108107,9.045469124984661e-05
0.13522353353353353,8.361277481468835e-05
0.136205985985986,7.72567069402747e-05
0.13718843843843845,7.135497556646005e-05
0.13817089089089088,6.58778339174504e-05
0.13915334334334334,6.079722763625559e-05
0.1401357957957958,5.6086722377586654e-05
0.14111824824824826,5.172143216595453e-05
0.1421007007007007,4.767794878745603e-05
0.14308315315315315,4.3934272448079996e-05
0.1440656056056056,4.0469743898308806e-05
0.14504805805805807,3.726497819324512e-05
0.1460305105105105,3.430180022940596e-05
0.14701296296296296,3.156318217333488e-05
0.14799541541541542,2.903318287215545e-05
0.14897786786786787,2.66968893172847e-05
0.1499603203203203,2.454036021562408e-05
0.15094277277277277,2.2550571702261872e-05
0.15192522522522522,2.0715365212631066e-05
0.15290767767767768,1.902339751835684e-05
0.15389013013013011,1.7464092918926562e-05
0.15487258258258257,1.6027597570679467e-05
0.15585503503503503,1.470473592534543e-05
0.1568374874874875,1.3486969242366933e-05
0.15781993993993992,1.2366356132406488e-05
0.15880239239239238,1.1335515083673158e-05
0.15978484484484484,1.0387588917922015e-05
0.1607672972972973,9.516211119076561e-06
0.16174974974974976,8.715473974336623e-06
0.1627322022022022,7.979898465266286e-06
0.16371465465465465,7.304405844643143e-06
0.1646971071071071,6.68429083371977e-06
0.16567955955955957,6.115196373934888e-06
0.166662012012012,5.593089866954202e-06
0.16764446446446446,5.114240837167093e-06
0.16862691691691692,4.675199951358795e-06
0.16960936936936938,4.272779331171957e-06
0.1705918218218218,3.904034095127266e-06
0.17157427427427427,3.566245068342907e-06
0.17255672672672673,3.2569025996474588e-06
0.1735391791791792,2.973691427482827e-06
0.17452163163163162,2.714476537817552e-06
0.17550408408408408,2.477289959204999e-06
0.17648653653653654,2.2603184421065665e-06
0.177468988988989,2.061891971632118e-06
0.17845144144144143,1.8804730649120645e-06
0.1794338938938939,1.7146468063902802e-06
0.18041634634634635,1.5631115764000763e-06
0.1813987987987988,1.4246704304448187e-06
0.18238125125125124,1.2982230886386766e-06
