r,nu O15
0.00161,2.875139210675186e-05
0.0025924524524524525,6.736865435948454e-05
0.0035749049049049048,0.00012269856302371494
0.004557357357357358,0.00019355168308149808
0.00553980980980981,0.0002801145424618212
0.006522262262262262,0.0003821993862899881
0.007504714714714715,0.000498747772664436
0.008487167167167168,0.0006288385862315791
0.00946961961961962,0.0007718675917147373
0.010452072072072072,0.0009273438438993506
0.011434524524524524,0.0010946483641027065
0.012416976976976976,0.0012729169434830894
0.01339942942942943,0.0014611551634686032
0.014381881881881883,0.0016583875410358696
0.015364334334334335,0.0018636519676555772
0.016346786786786787,0.002075957180856855
0.01732923923923924,0.0022942426666313054
0.01831169169169169,0.0025173525702241774
0.019294144144144144,0.0027440337959725434
0.020276596596596596,0.0029729669011319135
0.021259049049049048,0.0032028323111320043
0.0222415015015015,0.003432371717088889
0.023223953953953953,0.0036604068162485732
0.024206406406406405,0.0038858441273246077
0.02518885885885886,0.004107675912631079
0.026171311311311313,0.004324978087552076
0.027153763763763765,0.004536905889518521
0.028136216216216217,0.004742688044034814
0.02911866866866867,0.0049416201028654174
0.03010112112112112,0.005133057549423875
0.031083573573573574,0.005316409176902974
0.032066026026026026,0.005491131151955944
0.03304847847847848,0.005656722085175641
0.03403093093093093,0.005812719342078478
0.03501338338338338,0.0059586967464455255
0.035995835835835835,0.006094263752507963
0.03697828828828829,0.006219066093854163
0.03796074074074074,0.006332787855069654
0.03894319319319319,0.006435154856933136
0.039925645645645644,0.00652593919750841
0.040908098098098096,0.006604964749910299
0.04189055055055055,0.006672113378102928
0.042873003003003,0.006727330859360957
0.04385545545545545,0.006770628441757514
0.044837907907907905,0.006802080258230256
0.04582036036036036,0.006821819897509433
0.04680281281281281,0.006830036640361584
0.04778526526526526,0.006826971429869682
0.04876771771771772,0.0068129126409186185
0.04975017017017017,0.0067881917107422965
0.050732622622622625,0.0067531786884553035
0.05171507507507508,0.006708277757080175
0.05269752752752753,0.006653922776831974
0.05367997997997998,0.00659057289345709
0.054662432432432434,0.006518708250357377
0.055644884884884886,0.006438825838164582
0.05662733733733734,0.006351435510447648
0.05760978978978979,0.0062570561894124055
0.05859224224224224,0.006156212280845383
0.059574694694694695,0.006049430313213648
0.06055714714714715,0.0059372358117899485
0.0615395995995996,0.005820150414958861
0.06252205205205205,0.0056986892364848715
0.0635045045045045,0.005573358474499875
0.06448695695695696,0.005444653265291359
0.06546940940940942,0.005313055777640825
0.06645186186186186,0.0051790335414615835
0.06743431431431432,0.0050430380028019545
0.06841676676676677,0.004905503295895874
0.06939921921921922,0.00476684522183647
0.07038167167167167,0.004627460422598764
0.07136412412412413,0.004487725738520828
0.07234657657657657,0.004347997736946281
0.07332902902902903,0.00420861239951065
0.07431148148148148,0.004069884955498802
0.07529393393393394,0.003932109848786351
0.07627638638638638,0.003795560826086384
0.07725883883883884,0.0036604911345324478
0.07824129129129129,0.0035271338170227307
0.07922374374374375,0.0033957020942119564
0.08020619619619619,0.003266389822551457
0.08118864864864865,0.0031393720183303217
0.0821711011011011,0.003014805438250773
0.08315355355355356,0.0028928292076665792
0.084136006006006,0.0027735654882169018
0.08511845845845846,0.002657120177190393
0.0861009109109109,0.002543583631549934
0.08708336336336336,0.002433031410130571
0.08806581581581581,0.00232552502808897
0.08904826826826827,0.0022211127182264682
0.09003072072072071,0.0021198301943293092
0.09101317317317317,0.0020217014121643394
0.09199562562562562,0.001926739324237236
0.09297807807807808,0.0018349466248607828
0.09396053053053052,0.0017463164824936264
0.09494298298298298,0.001660833256692065
0.09592543543543544,0.001578473194473242
0.09690788788788789,0.001499205077871279
0.09789034034034035,0.0014229908203276093
0.09887279279279279,0.0013497860533323372
0.09985524524524525,0.0012795407093778599
0.1008376976976977,0.001212199597197483
