r,nu hep
0.00161,1.219979531251951e-06
0.0025924524524524525,2.867290935982714e-06
0.0035749049049049048,5.21855786907936e-06
0.004557357357357358,8.27514960207758e-06
0.00553980980980981,1.208014984888793e-05
0.006522262262262262,1.6519833674121655e-05
0.007504714714714715,2.1674023559282556e-05
0.008487167167167168,2.7623893823340124e-05
0.00946961961961962,3.4183228272307586e-05
0.010452072072072072,4.14739461387039e-05
0.011434524524524524,4.9536459567128135e-05
0.012416976976976976,5.8338161764928265e-05
0.01339942942942943,6.78512974320608e-05
0.014381881881881883,7.808114930447156e-05
0.015364334334334335,8.89629846801286e-05
0.016346786786786787,0.0001004357102516382
0.01732923923923924,0.00011332308982298866
0.01831169169169169,0.0001261368439829044
0.019294144144144144,0.0001402443892612422
0.020276596596596596,0.00015464573225968057
0.021259049049049048,0.00016985672921163584
0.0222415015015015,0.0001858805282394711
0.023223953953953953,0.00020269899932161538
0.024206406406406405,0.00022028085019045187
0.02518885885885886,0.0002385978760289527
0.026171311311311313,0.0002576307066348702
0.027153763763763765,0.0002773690780311788
0.028136216216216217,0.0002978102462462205
0.02911866866866867,0.00031895557111841883
0.03010112112112112,0.00034080726613876624
0.031083573573573574,0.00036336727845369973
0.032066026026026026,0.0003866367256936263
0.03304847847847848,0.00041061536182705847
0.03403093093093093,0.00043530108775330606
0.03501338338338338,0.0004606895302351654
0.035995835835835835,0.00048677371311235646
0.03697828828828829,0.0005135438451037696
0.03796074074074074,0.0005409872488017117
0.03894319319319319,0.0005690884555776753
0.039925645645645644,0.0005978294909575789
0.040908098098098096,0.0006271903745075076
0.04189055055055055,0.0006571498567059506
0.042873003003003,0.0006876863171687663
0.04385545545545545,0.0007187783079950383
0.044837907907907905,0.0007504046591381474
0.04582036036036036,0.0007825444917639033
0.04680281281281281,0.0008151771875282076
0.04778526526526526,0.0008482823112846358
0.04876771771771772,0.000881839484952405
0.04975017017017017,0.0009158282106037292
0.050732622622622625,0.0009502276411451397
0.05171507507507508,0.0009850162972743482
0.05269752752752753,0.0010201717296992232
0.05367997997997998,0.0010556701259191157
0.054662432432432434,0.001091485863214862
0.055644884884884886,0.0011275911520808861
0.05662733733733734,0.0011639563119032906
0.05760978978978979,0.0012005505951229113
0.05859224224224224,0.0012373432081466645
0.059574694694694695,0.0012743040783385416
0.06055714714714715,0.001311403898363523
0.0615395995995996,0.0013486139043422302
0.06252205205205205,0.0013859056019752318
0.0635045045045045,0.0014232504744825494
0.06448695695695696,0.0014606196509324048
0.06546940940940942,0.001497983520784679
0.06645186186186186,0.001535311294550108
0.06743431431431432,0.0015725705114093544
0.06841676676676677,0.0016097264950789393
0.06939921921921922,0.0016467418007563984
0.07038167167167167,0.0016835761903198818
0.07136412412412413,0.0017201875992674605
0.07234657657657657,0.0017565335057413308
0.07332902902902903,0.0017925724895410816
0.07431148148148148,0.0018282659724731649
0.07529393393393394,0.0018635801332205003
0.07627638638638638,0.0018984879280494864
0.07725883883883884,0.0019329701892342802
0.07824129129129129,0.0019670146131952446
0.07922374374374375,0.0020006138955071667
0.08020619619619619,0.002033763594450273
0.08118864864864865,0.00206645974885253
0.0821711011011011,0.0020986962618225907
0.08315355355355356,0.002130462163045999
0.084136006006006,0.0021617400081670075
0.08511845845845846,0.0021925063723082006
0.0861009109109109,0.0022227329899231693
0.08708336336336336,0.002252388056327252
0.08806581581581581,0.002281437676807327
0.08904826826826827,0.0023098474544640756
0.09003072072072071,0.002337584058566969
0.09101317317317317,0.0023646161684188387
0.09199562562562562,0.0023909149350276482
0.09297807807807808,0.002416454405087653
0.09396053053053052,0.0024412119510550377
0.09494298298298298,0.0024651687046559796
0.09592543543543544,0.002488309963174618
0.09690788788788789,0.002510625285089577
0.09789034034034035,0.0025321081318936765
0.09887279279279279,0.002552755376519173
0.09985524524524525,0.002572566767367114
0.1008376976976977,0.00259154435312928
0.10182015015015015,0.0026096918726867357
0.1028026026026026,0.0026270141144051225
0.10378505505505506,0.0026435162491237362
0.1047675075075075,0.002659203141071118
0.10574995995995996,0.0026740786408556883
0.10673241241241241,0.002688144869347477
0.10771486486486487,0.0027014016770324717
0.10869731731731731,0.0027138467017536944
0.10967976976976977,0.0027254757431252803
0.11066222222222222,0.0027362831773215736
0.11164467467467468,0.002746262393355779
0.11262712712712712,0.002755406247976777
0.11360957957957958,0.0027637075362617215
0.11459203203203203,0.002771159474914698
0.11557448448448449,0.002777756195208668
0.11655693693693693,0.002783493242437988
0.11753938938938939,0.0027883680786948777
0.11852184184184184,0.002792380585754113
0.1195042942942943,0.0027955335603756216
0.12048674674674674,0.0027978330476058568
0.1214691991991992,0.0027992881936053753
0.12245165165165164,0.002799910866113128
0.1234341041041041,0.00279971525295019
0.12441655655655655,0.0027987174522514776
0.125399009009009,0.002796935057079636
0.12638146146146145,0.002794386736999219
0.1273639139139139,0.002791091819083165
0.12834636636636637,0.002787069870694146
0.12932881881881883,0.0027823402862388372
0.13031127127127126,0.002776921879941177
0.13129372372372372,0.0027708324865288883
0.13227617617617618,0.0027640885717852715
0.13325862862862864,0.0027567048974976084
0.13424108108108107,0.00274869449332133
0.13522353353353353,0.0027400689222333925
0.136205985985986,0.00273083858653526
0.13718843843843845,0.0027210130334688353
0.13817089089089088,0.0027106012587392336
0.13915334334334334,0.0026996120064576934
0.1401357957957958,0.0026880540640777887
0.14111824824824826,0.00267593655095338
0.1421007007007007,0.002663269199199979
0.14308315315315315,0.002650062625597444
0.1440656056056056,0.002636328593334407
0.14504805805805807,0.002622080262467034
0.1460305105105105,0.0026073324280089533
