r,nu N13
0.00161,2.0992273007848873e-05
0.0025924524524524525,4.8453577405461035e-05
0.0035749049049049048,8.820394730614772e-05
0.004557357357357358,0.000139505130032167
0.00553980980980981,0.00020218201418311637
0.006522262262262262,0.0002758197496910789
0.007504714714714715,0.0003596043412821174
0.008487167167167168,0.00045294996947355565
0.00946961961961962,0.0005555575599737516
0.010452072072072072,0.0006672104197571115
0.011434524524524524,0.0007875539035750948
0.012416976976976976,0.0009159911604832497
0.01339942942942943,0.0010517821306086491
0.014381881881881883,0.0011941775940354804
0.015364334334334335,0.0013424275942332906
0.016346786786786787,0.001495760086511701
0.01732923923923924,0.0016533601665565344
0.01831169169169169,0.001814357243074733
0.019294144144144144,0.00197782666756139
0.020276596596596596,0.002142811335940456
0.021259049049049048,0.0023083649056893775
0.0222415015015015,0.002473591236142645
0.023223953953953953,0.002637656155080771
0.024206406406406405,0.002799789876723157
0.02518885885885886,0.002959286560699658
0.026171311311311313,0.003115501699390487
0.027153763763763765,0.0032678479417133353
0.028136216216216217,0.0034157899250914082
0.02911866866866867,0.00355883863159798
0.03010112112112112,0.0036965457170526975
0.031083573573573574,0.003828498189330372
0.032066026026026026,0.003954313738844771
0.03304847847847848,0.004073636953121842
0.03403093093093093,0.004186136580404393
0.03501338338338338,0.004291503945249351
0.035995835835835835,0.00438945256238919
0.03697828828828829,0.004479718943669881
0.03796074074074074,0.004562064546446471
0.03894319319319319,0.004636278770239148
0.039925645645645644,0.004702182871693816
0.040908098098098096,0.004759634636129492
0.04189055055055055,0.004808533613536889
0.042873003003003,0.0048488261259115135
0.04385545545545545,0.004880506871894682
0.044837907907907905,0.004903617292437714
0.04582036036036036,0.0049182432577794845
0.04680281281281281,0.004924512467116383
0.04778526526526526,0.004922591611658522
0.04876771771771772,0.0049126833501307214
0.04975017017017017,0.0048950231442205176
0.050732622622622625,0.004869875999312952
0.05171507507507508,0.004837533153188207
0.05269752752752753,0.0047983087522951605
0.05367997997997998,0.0047525365518527275
0.054662432432432434,0.004700566672460126
0.055644884884884886,0.004642762442206824
0.05662733733733734,0.004579497349536476
0.05760978978978979,0.004511152128407008
