r,m
0.00161,0.0005926195982675358
0.0025924524524524525,0.0005280540262677833
0.0035749049049049048,0.00046515768504239033
0.004557357357357358,0.0004047051172008609
0.00553980980980981,0.00034745526595603165
0.006522262262262262,0.00029415159479349824
0.007504714714714715,0.0002455222071410434
0.008487167167167168,0.0002022799660380652
0.00946961961961962,0.00016512261380500262
0.010452072072072072,0.0001347328917127661
0.011434524524524524,0.00011177865965216298
0.012416976976976976,9.691301580332649e-05
0.01339942942942943,9.077441630514164e-05
0.014381881881881883,9.39867949246756e-05
0.015364334334334335,0.0001071596827266022
0.016346786786786787,0.00013088832774263247
0.01732923923923924,0.00016575381464093976
0.01831169169169169,0.00021232318439558915
0.019294144144144144,0.0002711495539559642
0.020276596596596596,0.0003427722359161959
0.021259049049049048,0.00042771685818458803
0.0222415015015015,0.0005264954836530454
0.023223953953953953,0.0006396067298665049
0.024206406406406405,0.0007675358886923578
0.02518885885885886,0.0009107550459898814
0.026171311311311313,0.001069723201279664
0.027153763763763765,0.0012448863874130352
0.028136216216216217,0.001436677790241491
0.02911866866866867,0.0016455178682861222
0.03010112112112112,0.0018718144724070454
0.031083573573573574,0.0021159629654728227
0.032066026026026026,0.0023783463420298996
0.03304847847847848,0.0026593353479720237
0.03403093093093093,0.0029592886002096763
0.03501338338338338,0.003278552706339502
0.035995835835835835,0.0036174623843137285
0.03697828828828829,0.003976340582109611
0.03796074074074074,0.004355498597398834
0.03894319319319319,0.0047552361972169645
0.039925645645645644,0.005175841737632864
0.040908098098098096,0.005617592283418122
0.04189055055055055,0.006080753727716484
0.042873003003003,0.006565580911713273
0.04385545545545545,0.007072317744304829
0.044837907907907905,0.007601197321767923
0.04582036036036036,0.008152442047429188
0.04680281281281281,0.008726263751334567
0.04778526526526526,0.009322863809918699
0.04876771771771772,0.009942433265674396
0.04975017017017017,0.01058515294682202
0.050732622622622625,0.011251193586978955
0.05171507507507508,0.011940715944829008
0.05269752752752753,0.012653870923791844
0.05367997997997998,0.013390799691692426
0.054662432432432434,0.014151633800430411
0.055644884884884886,0.01493649530564961
0.05662733733733734,0.015745496886407407
0.05760978978978979,0.016578741964844178
0.05859224224224224,0.01743632482585271
0.059574694694694695,0.01831833073674766
0.06055714714714715,0.019224836066934956
0.0615395995995996,0.020155908407581247
0.06252205205205205,0.02111160669128329
0.0635045045045045,0.022091981311737424
0.06448695695695696,0.023097074243408997
0.06546940940940942,0.024126919161201726
0.06645186186186186,0.0251815415601272
0.06743431431431432,0.026260958874974285
0.06841676676676677,0.02736518059997855
0.06939921921921922,0.0284942084084917
0.07038167167167167,0.029648036272650943
0.07136412412412413,0.03082665058304854
0.07234657657657657,0.03203003026840112
0.07332902902902903,0.033258146915219194
0.07431148148148148,0.03451096488747645
0.07529393393393394,0.035788441446279386
0.07627638638638638,0.03709052686953654
0.07725883883883884,0.038417164571628026
0.07824129129129129,0.03976829122307493
0.07922374374374375,0.04114383687020877
0.08020619619619619,0.04254372505484086
0.08118864864864865,0.04396787293393177
0.0821711011011011,0.0454161913992608
0.08315355355355356,0.04688858519709532
0.084136006006006,0.04838495304786028
0.08511845845845846,0.0499051877658076
0.0861009109109109,0.051449176378685534
0.08708336336336336,0.053016800247408256
0.08806581581581581,0.05460793518572511
0.08904826826826827,0.05622245157989021
0.09003072072072071,0.057860214508331696
0.09101317317317317,0.059521083861321274
0.09199562562562562,0.0612049144606436
0.09297807807807808,0.0629115561792658
0.09396053053053052,0.06464085406100666
0.09494298298298298,0.06639264844020643
0.09592543543543544,0.06816677506139585
0.09690788788788789,0.06996306519896578
