r,T
0.00161,15512900.39734672
0.0025924524524524525,15508821.44235293
0.0035749049049049048,15504206.97190796
0.004557357357357358,15499057.81433818
0.00553980980980981,15493374.939512819
0.006522262262262262,15487159.45749036
0.007504714714714715,15480412.61711474
0.008487167167167168,15473135.804561043
0.00946961961961962,15465330.541830648
0.010452072072072072,15456998.485201653
0.011434524524524524,15448141.423627965
0.012416976976976976,15438761.277096365
0.01339942942942943,15428860.094935127
0.014381881881881883,15418440.054082885
0.015364334334334335,15407503.457312005
0.016346786786786787,15396052.731413284
0.01732923923923924,15384090.425337605
0.01831169169169169,15371619.208303383
0.019294144144144144,15358641.867863106
0.020276596596596596,15345161.307935916
0.021259049049049048,15331180.54680355
0.0222415015015015,15316702.715076294
0.023223953953953953,15301731.053624095
0.024206406406406405,15286268.911478199
0.02518885885885886,15270319.743704127
0.026171311311311313,15253887.10924617
0.027153763763763765,15236974.668746362
0.028136216216216217,15219586.182337884
0.02911866866866867,15201725.507415097
0.03010112112112112,15183396.596382061
0.031083573573573574,15164603.49438014
0.032066026026026026,15145350.33699607
0.03304847847847848,15125641.347952737
0.03403093093093093,15105480.836783357
0.03501338338338338,15084873.196491143
0.035995835835835835,15063822.901194938
0.03697828828828829,15042334.503763082
0.03796074074074074,15020412.633436492
0.03894319319319319,14998061.99344266
0.039925645645645644,14975287.358601794
0.040908098098098096,14952093.572925808
0.04189055055055055,14928485.547212876
0.042873003003003,14904468.256638262
0.04385545545545545,14880046.738342177
0.044837907907907905,14855226.089016693
0.04582036036036036,14830011.462492792
0.04680281281281281,14804408.06732953
0.04778526526526526,14778421.164404904
0.04876771771771772,14752056.064511264
0.04975017017017017,14725318.125956591
0.050732622622622625,14698212.752170451
0.05171507507507508,14670745.38931994
0.05269752752752753,14642921.523932653
0.05367997997997998,14614746.68053025
0.054662432432432434,14586226.419272885
0.055644884884884886,14557366.333616901
0.05662733733733734,14528172.047984296
0.05760978978978979,14498649.215447206
0.05859224224224224,14468803.515427718
0.059574694694694695,14438640.651414642
0.06055714714714715,14408166.348696489
0.0615395995995996,14377386.352113234
0.06252205205205205,14346306.423827805
0.0635045045045045,14314932.341116825
0.06448695695695696,14283269.89418261
0.06546940940940942,14251324.883987619
0.06645186186186186,14219103.1201099
0.06743431431431432,14186610.41862386
0.06841676676676677,14153852.6000038
0.06939921921921922,14120835.487052344
0.07038167167167167,14087564.902855411
0.07136412412412413,14054046.668762214
0.07234657657657657,14020286.602392517
0.07332902902902903,13986290.515671717
0.07431148148148148,13952064.21289299
0.07529393393393394,13917613.488809163
0.07627638638638638,13882944.126752043
0.07725883883883884,13848061.896783061
0.07824129129129129,13812972.553872406
0.07922374374374375,13777681.836109268
0.08020619619619619,13742195.46294267
0.08118864864864865,13706519.133453866
0.0821711011011011,13670658.524659084
0.08315355355355356,13634619.289845677
0.084136006006006,13598407.056939162
0.08511845845845846,13562027.426902587
0.0861009109109109,13525485.972169481
0.08708336336336336,13488788.235108465
0.08806581581581581,13451939.72652118
0.08904826826826827,13414945.924173906
0.09003072072072071,13377812.27136087
0.09101317317317317,13340544.175502475
0.09199562562562562,13303147.006776096
0.09297807807807808,13265626.096780289
0.09396053053053052,13227986.737232458
0.09494298298298298,13190234.178700311
0.09592543543543544,13152373.62936606
0.09690788788788789,13114410.253824657
0.09789034034034035,13076349.171914982
0.09887279279279279,13038195.457584145
0.09985524524524525,12999954.137785165
0.1008376976976977,12961630.191407356
0.10182015015015015,12923228.548239678
0.1028026026026026,12884754.087966667
0.10378505505505506,12846211.639196683
0.1047675075075075,12807605.978522869
0.10574995995995996,12768941.82961503
0.10673241241241241,12730223.862345112
0.10771486486486487,12691456.691942172
0.10869731731731731,12652644.878180072
0.10967976976976977,12613792.9245954
0.11066222222222222,12574905.277736085
0.11164467467467468,12535986.326440953
0.11262712712712712,12497040.401148193
0.11360957957957958,12458071.77323444
0.11459203203203203,12419084.654382868
0.11557448448448449,12380083.195980072
0.11655693693693693,12341071.488541333
0.11753938938938939,12302053.561164701
0.11852184184184184,12263033.381012049
0.1195042942942943,12224014.852818113
0.12048674674674674,12185001.818426268
0.1214691991991992,12145998.056350363
0.12245165165165164,12107007.281363452
0.1234341041041041,12068033.144111494
0.12441655655655655,12029079.230752511
0.125399009009009,11990149.062620688
0.12638146146146145,11951246.095914273
0.1273639139139139,11912373.721407421
0.12834636636636637,11873535.264185797
0.12932881881881883,11834733.983404726
0.13031127127127126,11795973.072069637
0.13129372372372372,11757255.656838689
0.13227617617617618,11718584.797846837
0.13325862862862864,11679963.488550441
0.13424108108108107,11641394.655593034
0.13522353353353353,11602881.158690589
0.136205985985986,11564425.790536672
0.13718843843843845,11526031.276726015
0.13817089089089088,11487700.275697302
0.13915334334334334,11449435.378693815
0.1401357957957958,11411239.109741746
0.14111824824824826,11373113.925645102
0.1421007007007007,11335062.21599798
0.14308315315315315,11297086.303212522
0.1440656056056056,11259188.442562817
0.14504805805805807,11221370.822243746
0.1460305105105105,11183635.56344526
0.14701296296296296,11145984.720484825
0.14799541541541542,11108420.281386176
0.14897786786786787,11070944.16901091
0.1499603203203203,11033558.242286185
0.15094277277277277,10996264.297422796
0.15192522522522522,10959064.069123566
0.15290767767767768,10921959.231780056
0.15389013013013011,10884951.400659768
0.15487258258258257,10848042.133081527
0.15585503503503503,10811232.929580202
0.1568374874874875,10774525.235060036
0.15781993993993992,10737920.43993634
0.15880239239239238,10701419.881266417
0.15978484484484484,10665024.843867736
0.1607672972972973,10628736.561425423
0.16174974974974976,10592556.217587255
0.1627322022022022,10556484.94704686
0.16371465465465465,10520523.836615311
0.1646971071071071,10484673.926279722
0.16567955955955957,10448936.210251078
0.166662012012012,10413311.637998797
0.16764446446446446,10377801.115273457
0.16862691691691692,10342405.5051174
0.16960936936936938,10307125.628862854
0.1705918218218218,10271962.267118592
0.17157427427427427,10236916.160742981
0.17255672672672673,10201988.011805845
0.1735391791791792,10167178.484537728
0.17452163163163162,10132488.206267068
0.17550408408408408,10097917.768344723
0.17648653653653654,10063467.727057049
0.177468988988989,10029138.604526298
0.17845144144144143,9994930.88959882
0.1794338938938939,9960845.038721675
0.18041634634634635,9926881.476806847
0.1813987987987988,9893040.598083721
0.18238125125125124,9859322.766939782
0.1833637037037037,9825728.31874854
0.18434615615615615,9792257.560687082
0.1853286086086086,9758910.772541046
0.18631106106106105,9725688.207498042
0.1872935135135135,9692590.092929577
0.18827596596596596,9659616.631161625
0.18925841841841842,9626768.000233844
0.19024087087087088,9594044.3546467
0.1912233233233233,9561445.826099018
0.19220577577577577,9528972.524212347
0.19318822822822823,9496624.53724603
0.1941706806806807,9464401.932800135
0.19515313313313312,9432304.758508202
0.19613558558558558,9400333.04271871
