r,l
0.00161,9.999844568704484e-06
0.0025924524524524525,2.1675488975428454e-05
0.0035749049049049048,3.987859044097377e-05
0.004557357357357358,8.340007824191484e-05
0.00553980980980981,0.00015035692453729398
0.006522262262262262,0.00024973963784025513
0.007504714714714715,0.0003775640447771229
0.008487167167167168,0.0005391419024589177
0.00946961961961962,0.0007589650625362363
0.010452072072072072,0.0010134879237543033
0.011434524524524524,0.0013264519235168272
0.012416976976976976,0.0016974257814506278
0.01339942942942943,0.0021242063558181232
0.014381881881881883,0.0026228984195322256
0.015364334334334335,0.003190521079514567
0.016346786786786787,0.0038304187494055324
0.01732923923923924,0.004549964940308659
0.01831169169169169,0.00535344954998517
0.019294144144144144,0.006244199520455061
0.020276596596596596,0.007225566237844542
0.021259049049049048,0.008300929238689723
0.0222415015015015,0.009473612157921243
0.023223953953953953,0.010746849799314947
0.024206406406406405,0.012123764749141492
0.02518885885885886,0.013607339762959414
0.026171311311311313,0.015200392860629637
0.027153763763763765,0.016905564011800225
0.028136216216216217,0.01872532388612751
0.02911866866866867,0.020662012896503202
0.03010112112112112,0.02271787879553722
0.031083573573573574,0.02489507324536615
0.032066026026026026,0.02719563264867625
0.03304847847847848,0.029621453995597152
0.03403093093093093,0.032174267480881695
0.03501338338338338,0.034855607830417246
0.035995835835835835,0.037666786577224554
0.03697828828828829,0.040608867808554716
0.03796074074074074,0.04368265016609538
0.03894319319319319,0.046888658117602365
0.039925645645645644,0.05022714572623979
0.040908098098098096,0.05369811631886138
0.04189055055055055,0.057301361548843285
0.042873003003003,0.06103651687425098
0.04385545545545545,0.0649030993197793
0.044837907907907905,0.06890051898621367
0.04582036036036036,0.07302808580857763
0.04680281281281281,0.0772850148178989
0.04778526526526526,0.08167042993799498
0.04876771771771772,0.08618336637359504
0.04975017017017017,0.09082277167620433
0.050732622622622625,0.09558750560137859
0.05171507507507508,0.10047633889557461
0.05269752752752753,0.10548795117255667
0.05367997997997998,0.1106209280586094
0.054662432432432434,0.11587375780264705
0.055644884884884886,0.12124482756187938
0.05662733733733734,0.12673241958609965
0.05760978978978979,0.13233470753403925
0.05859224224224224,0.1380497531636729
0.059574694694694695,0.14387550364494545
0.06055714714714715,0.14980978974818526
0.0615395995995996,0.15585032516451555
0.06252205205205205,0.16199470721589954
0.0635045045045045,0.16824041921207714
0.06448695695695696,0.1745848347095896
0.06546940940940942,0.18102522392433915
0.06645186186186186,0.18755876254374884
0.06743431431431432,0.19418254317757547
0.06841676676676677,0.20089358967778115
0.06939921921921922,0.2076888740971601
0.07038167167167167,0.21456533053055393
0.07136412412412413,0.2215198604070514
0.07234657657657657,0.22854933528216226
0.07332902902902903,0.2356505993828563
0.07431148148148148,0.24282047197988738
0.07529393393393394,0.25005574962295213
0.07627638638638638,0.25735320827526065
0.07725883883883884,0.264709605384822
0.07824129129129129,0.2721216819301735
0.07922374374374375,0.27958616447843715
0.08020619619619619,0.28709976729346615
0.08118864864864865,0.2946591945315036
0.0821711011011011,0.30226114256117786
0.08315355355355356,0.3099023024438754
0.084136006006006,0.31757936260952946
0.08511845845845846,0.325289011761697
0.0861009109109109,0.333027942044448
0.08708336336336336,0.3407928525021007
0.08806581581581581,0.3485804528611951
0.08904826826826827,0.35638746766235224
0.09003072072072071,0.36421064076777915
0.09101317317317317,0.37204674026823364
0.09199562562562562,0.3798925638112023
0.09297807807807808,0.3877449443699432
0.09396053053053052,0.39560075647087717
0.09494298298298298,0.40345692289445256
0.09592543543543544,0.41131042165408227
0.09690788788788789,0.4191582911363039
0.09789034034034035,0.4269976321772199
0.09887279279279279,0.43482560931006603
0.09985524524524525,0.44263945180779013
0.1008376976976977,0.4504364545378062
0.10182015015015015,0.4582139786388648
0.1028026026026026,0.46596945203011797
0.10378505505505506,0.4737003697625597
0.1047675075075075,0.48140429422305364
0.10574995995995996,0.48907885520116223
0.10673241241241241,0.4967217498289345
0.10771486486486487,0.5043307424037238
0.10869731731731731,0.5119036641039765
0.10967976976976977,0.5194384126077765
0.11066222222222222,0.5269329516237327
0.11164467467467468,0.5343853103435886
0.11262712712712712,0.5417935828256819
0.11360957957957958,0.5491559273181251
0.11459203203203203,0.5564705655302989
0.11557448448448449,0.5637357818609452
0.11655693693693693,0.570949922590846
