r,nu B8
0.00161,3.512240585334266e-05
0.0025924524524524525,8.133576157897914e-05
0.0035749049049049048,0.00014800885994690124
0.004557357357357358,0.00023366952492103593
0.00553980980980981,0.00033815556822471183
0.006522262262262262,0.00046099767729822
0.007504714714714715,0.0006009096884285327
0.008487167167167168,0.000756898541339707
0.00946961961961962,0.000928392138229333
0.010452072072072072,0.0011149169789049231
0.011434524524524524,0.0013157495561783826
0.012416976976976976,0.0015297552551087237
0.01339942942942943,0.0017555562065028473
0.014381881881881883,0.0019917553233833453
0.015364334334334335,0.0022369560680115946
0.016346786786786787,0.0024897330780988525
0.01732923923923924,0.002748602846730074
0.01831169169169169,0.0030120064041476344
0.019294144144144144,0.003278314451460024
0.020276596596596596,0.003545863618732607
0.021259049049049048,0.0038130261669128466
0.0222415015015015,0.004078272429402545
0.023223953953953953,0.0043401882326110095
0.024206406406406405,0.004597476940552291
0.02518885885885886,0.004848956706874769
0.026171311311311313,0.00509355421858761
0.027153763763763765,0.005330296057860018
0.028136216216216217,0.005558298716743369
0.02911866866866867,0.005776758177642802
0.03010112112112112,0.0059849398341756755
0.031083573573573574,0.006182169383493404
0.032066026026026026,0.006367825179736489
0.03304847847847848,0.006541332403799654
0.03403093093093093,0.006702159279610302
0.03501338338338338,0.006849815452735148
0.035995835835835835,0.006983852543436622
0.03697828828828829,0.007103866792940616
0.03796074074074074,0.007209503638217141
0.03894319319319319,0.00730046397678548
0.039925645645645644,0.007376511819094935
0.040908098098098096,0.0074374829725206044
0.04189055055055055,0.007483294352165787
0.042873003003003,0.007513952510383511
0.04385545545545545,0.007529556041871821
0.044837907907907905,0.007530292270053381
0.04582036036036036,0.007516432604966286
0.04680281281281281,0.007488327250776738
0.04778526526526526,0.007446399365550133
0.04876771771771772,0.007391138775917658
0.04975017017017017,0.007323095348795789
0.050732622622622625,0.007242872120186364
0.05171507507507508,0.0071511182774822955
0.05269752752752753,0.007048522086829645
0.05367997997997998,0.006935803851149906
0.054662432432432434,0.006813708977614797
0.055644884884884886,0.00668300122589069
0.05662733733733734,0.006544456200527015
0.05760978978978979,0.006398855142635952
0.05859224224224224,0.006246979067670621
0.059574694694694695,0.006089603287812404
0.06055714714714715,0.005927492349358954
0.0615395995995996,0.005761395407686518
0.06252205205205205,0.0055920420549399495
0.0635045045045045,0.0054201386086671095
0.06448695695695696,0.005246364863221612
0.06546940940940942,0.00507137129995865
0.06645186186186186,0.004895776747071425
0.06743431431431432,0.004720166475378294
0.06841676676676677,0.004545090712473807
0.06939921921921922,0.004371063554393322
0.07038167167167167,0.004198562251290072
0.07136412412412413,0.0040280268415594945
0.07234657657657657,0.003859860107333389
0.07332902902902903,0.0036944278232665523
0.07431148148148148,0.00353205927000847
0.07529393393393394,0.003373047983645615
0.07627638638638638,0.0032176527126697657
0.07725883883883884,0.0030660985546259968
0.07824129129129129,0.002918578245475102
0.07922374374374375,0.002775253575821811
0.08020619619619619,0.0026362569094708246
0.08118864864864865,0.002501692781234478
0.0821711011011011,0.0023716395524915933
0.08315355355355356,0.002246151104651502
0.084136006006006,0.002125258552378458
0.08511845845845846,0.0020089719601510164
0.0861009109109109,0.0018972820474443797
0.08708336336336336,0.001790161869508337
0.08806581581581581,0.0016875684623518011
0.08904826826826827,0.0015894444421215748
0.09003072072072071,0.0014957195505649439
0.09101317317317317,0.0014063121396840693
0.09199562562562562,0.0013211305900171677
0.09297807807807808,0.001240074658212361
0.09396053053053052,0.0011630367506917938
0.09494298298298298,0.0010899031212350495
0.09592543543543544,0.0010205549912421718
0.09690788788788789,0.0009548695922694315
0.09789034034034035,0.0008927211311682868
0.09887279279279279,0.0008339816788028456
0.09985524524524525,0.000778521983878591
0.1008376976976977,0.0007262122138893941
0.10182015015015015,0.0006769226255866946
0.1028026026026026,0.0006305241676994515
0.10378505505505506,0.0005868890188918485
0.1047675075075075,0.0005458910641435513
0.10574995995995996,0.0005074063128801792
0.10673241241241241,0.0004713132622753845
0.10771486486486487,0.0004374932091955789
0.10869731731731731,0.0004058305142695943
0.10967976976976977,0.00037621282154291324
0.11066222222222222,0.00034853123712459515
0.11164467467467468,0.000322680470158632
0.11262712712712712,0.0002985589393546737
0.11360957957957958,0.0002760688481991361
0.11459203203203203,0.0002551162318403914
0.11557448448448449,0.0002356109785038649
0.11655693693693693,0.00021746682814736498
0.11753938938938939,0.00020060135091617542
0.11852184184184184,0.0001849359078036199
0.1195042942942943,0.00017039559576777482
0.12048674674674674,0.00015690917940051275
0.1214691991991992,0.00014440901109242835
0.12245165165165164,0.00013283094148767028
0.1234341041041041,0.0001221142218772485
0.12441655655655655,0.00011220140003886223
0.125399009009009,0.00010303821089626719
0.12638146146146145,9.457346324226175e-05
0.1273639139139139,8.675892364679579e-05
0.12834636636636637,7.954919855583216e-05
0.12932881881881883,7.290161547748662e-05
0.13031127127127126,6.677610404975152e-05
0.13129372372372372,6.113507768872027e-05
0.13227617617617618,5.5943316427630866e-05
0.13325862862862864,5.116785147503377e-05
0.13424108108108107,4.677785194486199e-05
0.13522353353353353,4.27445141418596e-05
0.136205985985986,3.9040953722488786e-05
0.13718843843843845,3.564210099380744e-05
0.13817089089089088,3.252459956062367e-05
0.13915334334334334,2.966670848416188e-05
0.1401357957957958,2.7048208073252143e-05
0.14111824824824826,2.4650309391352435e-05
0.1421007007007007,2.245556752924339e-05
0.14308315315315315,2.0447798663698045e-05
0.1440656056056056,1.861200089652992e-05
