r,X_C12
0.00161,7.791292476550463e-06
0.0025924524524524525,7.797304439412734e-06
0.0035749049049049048,7.799298953969701e-06
0.004557357357357358,7.798474144809812e-06
0.00553980980980981,7.795743490585249e-06
0.006522262262262262,7.791769776033989e-06
0.007504714714714715,7.78700080049655e-06
0.008487167167167168,7.781705965566606e-06
0.00946961961961962,7.776013220546018e-06
0.010452072072072072,7.769946085999647e-06
0.011434524524524524,7.763460622780399e-06
0.012416976976976976,7.756482277903003e-06
0.01339942942942943,7.748940162803069e-06
0.014381881881881883,7.740783841779478e-06
0.015364334334334335,7.731982577217999e-06
0.016346786786786787,7.722522081417864e-06
0.01732923923923924,7.712401259254683e-06
0.01831169169169169,7.701628957013093e-06
0.019294144144144144,7.690220722906147e-06
0.020276596596596596,7.678195585304024e-06
0.021259049049049048,7.665572968029315e-06
0.0222415015015015,7.65237082563812e-06
0.023223953953953953,7.638605417053716e-06
0.024206406406406405,7.624291411187841e-06
0.02518885885885886,7.609441997118345e-06
0.026171311311311313,7.594068994941269e-06
0.027153763763763765,7.5781829670559155e-06
0.028136216216216217,7.561793329657672e-06
0.02911866866866867,7.5449084642310144e-06
0.03010112112112112,7.527535828847527e-06
0.031083573573573574,7.509682069086077e-06
0.032066026026026026,7.491353128401974e-06
0.03304847847847848,7.472554357780604e-06
0.03403093093093093,7.453290624518328e-06
0.03501338338338338,7.43356641997947e-06
0.035995835835835835,7.413385966182582e-06
0.03697828828828829,7.392753321074401e-06
0.03796074074074074,7.371672482353373e-06
0.03894319319319319,7.35014748970718e-06
0.039925645645645644,7.328182525333498e-06
0.040908098098098096,7.305782012614303e-06
0.04189055055055055,7.282950712753908e-06
0.042873003003003,7.25969380997582e-06
0.04385545545545545,7.2360169393601105e-06
0.044837907907907905,7.2119261660926135e-06
0.04582036036036036,7.187427959079313e-06
0.04680281281281281,7.162529164605963e-06
0.04778526526526526,7.137236980089738e-06
0.04876771771771772,7.111558927956183e-06
0.04975017017017017,7.08550282967375e-06
0.050732622622622625,7.059076779978781e-06
0.05171507507507508,7.032289121322487e-06
0.05269752752752753,7.0051484185702405e-06
0.05367997997997998,6.977663433983727e-06
0.054662432432432434,6.9498431025143665e-06
0.055644884884884886,6.921696507436055e-06
0.05662733733733734,6.8932328563439836e-06
0.05760978978978979,6.864461457544604e-06
0.05859224224224224,6.835391696861049e-06
0.059574694694694695,6.806033014877353e-06
0.06055714714714715,6.776394884641661e-06
0.0615395995995996,6.746486789849824e-06
0.06252205205205205,6.716318203527252e-06
0.0635045045045045,6.685898567226341e-06
0.06448695695695696,6.65523727075528e-06
0.06546940940940942,6.62434363245284e-06
0.06645186186186186,6.593226880021693e-06
0.06743431431431432,6.561896131932019e-06
0.06841676676676677,6.53036037940585e-06
0.06939921921921922,6.498628468990559e-06
0.07038167167167167,6.466709085729536e-06
0.07136412412412413,6.434610736936166e-06
0.07234657657657657,6.402341736576447e-06
