Betas,PDF,Best Fit,err_beta_min,err_beta_max,-1sigma,+1sigma
10.0,0.0,13.768844221105528,12.663316582914574,15.27638190954774,1.1055276381909547,1.507537688442211
10.050251256281408,5.942485784171447e-05,,,,,
10.100502512562814,8.703059899755884e-05,,,,,
10.150753768844222,0.00012592842102891942,,,,,
10.201005025125628,0.0001800818151586759,,,,,
10.251256281407036,0.0002545965488928201,,,,,
10.301507537688442,0.00035596717265707007,,,,,
10.35175879396985,0.0004923529129945513,,,,,
10.402010050251256,0.0006738803004779824,,,,,
10.452261306532664,0.0009129680545091484,,,,,
10.50251256281407,0.0012246677650186106,,,,,
10.552763819095478,0.001627011858390631,,,,,
10.603015075376884,0.0021413583154851,,,,,
10.653266331658292,0.0027927197403545866,,,,,
10.703517587939698,0.0036100627828541077,,,,,
10.753768844221106,0.0046265627195614025,,,,,
10.804020100502512,0.00587979730884051,,,,,
10.85427135678392,0.007411863953702438,,,,,
10.904522613065327,0.009269404801446014,,,,,
10.954773869346734,0.011503525721877851,,,,,
11.00502512562814,0.014169597140119986,,,,,
11.055276381909549,0.017326927421666215,,,,,
11.105527638190955,0.021038302844228914,,,,,
11.155778894472363,0.025369392035442574,,,,,
11.206030150753769,0.030388016969570917,,,,,
11.256281407035177,0.03616329703760453,,,,,
11.306532663316583,0.042764677156589666,,,,,
11.35678391959799,0.050260855181110516,,,,,
11.407035175879397,0.05871862784302581,,,,,
11.457286432160805,0.06820167790598611,,,,,
11.507537688442211,0.07876932803298126,,,,,
11.557788944723619,0.09047528890886743,,,,,
11.608040201005025,0.10336643035020365,,,,,
11.658291457286433,0.11748160442368347,,,,,
11.708542713567839,0.13285054897075055,,,,,
11.758793969849247,0.1494928984277731,,,,,
11.809045226130653,0.16741732649904667,,,,,
11.859296482412061,0.18662084217752561,,,,,
11.909547738693467,0.20708825693364424,,,,,
11.959798994974875,0.22879183674124182,,,,,
12.010050251256281,0.2516911481332577,,,,,
12.06030150753769,0.275733102831015,,,,,
12.110552763819095,0.30085220082353387,,,,,
12.160804020100503,0.3269709672345549,,,,,
12.21105527638191,0.35400057403577223,,,,,
12.261306532663317,0.38184163376503366,,,,,
12.311557788944723,0.41038514898129647,,,,,
12.361809045226131,0.43951359831072595,,,,,
12.412060301507537,0.4691021376602996,,,,,
12.462311557788945,0.4990198935275147,,,,,
12.512562814070352,0.5291313243187259,,,,,
12.56281407035176,0.5592976251979007,,,,,
12.613065326633166,0.5893781521814228,,,,,
12.663316582914574,0.6192318419361391,,,,,
12.71356783919598,0.6487186049572911,,,,,
12.763819095477388,0.6777006714432006,,,,,
12.814070351758794,0.7060438711610794,,,,,
12.864321608040202,0.7336188308449844,,,,,
12.914572864321608,0.7603020750991112,,,,,
12.964824120603016,0.7859770193269325,,,,,
13.015075376884422,0.8105348457986515,,,,,
13.06532663316583,0.8338752565385936,,,,,
13.115577889447236,0.8559070992093296,,,,,
13.165829145728644,0.8765488645323963,,,,,
13.21608040201005,0.8957290559871233,,,,,
13.266331658291458,0.9133864345257408,,,,,
13.316582914572864,0.9294701428194664,,,,,
13.366834170854272,0.9439397150872627,,,,,
13.417085427135678,0.9567649798468006,,,,,
13.467336683417086,0.967925863971645,,,,,
13.517587939698492,0.9774121072316333,,,,,
13.5678391959799,0.9852228970616415,,,,,
13.618090452261306,0.9913664336432986,,,,,
13.668341708542714,0.9958594355265578,,,,,
13.71859296482412,0.9987265959733748,,,,,
13.768844221105528,1.0,,,,,
13.819095477386934,0.9997185117480338,,,,,
13.869346733668342,0.9979271413499652,,,,,
13.919597989949748,0.9946763998917868,,,,,
13.969849246231156,0.9900216504437829,,,,,
14.020100502512562,0.984022462432633,,,,,
14.07035175879397,0.9767419759071835,,,,,
14.120603015075378,0.9682462814961196,,,,,
14.170854271356784,0.9586038211080651,,,,,
14.22110552763819,0.9478848136783936,,,,,
14.271356783919598,0.9361607095427402,,,,,
14.321608040201006,0.9235036763243503,,,,,
14.371859296482413,0.9099861185614085,,,,,
14.422110552763819,0.8956802326884709,,,,,
14.472361809045227,0.8806575984154056,,,,,
14.522613065326635,0.8649888070315012,,,,,
14.57286432160804,0.8487431266951532,,,,,
14.623115577889447,0.8319882043574209,,,,,
14.673366834170855,0.8147898036038982,,,,,
14.723618090452263,0.7972115773920825,,,,,
14.773869346733669,0.7793148743958808,,,,,
14.824120603015075,0.7611585774560308,,,,,
14.874371859296483,0.742798972462387,,,,,
14.92462311557789,0.7242896458617559,,,,,
14.974874371859297,0.7056814088916596,,,,,
15.025125628140703,0.687022246578349,,,,,
15.075376884422111,0.6683572895066845,,,,,
15.125628140703519,0.6497288063649358,,,,,
15.175879396984925,0.6311762152864396,,,,,
15.226130653266331,0.6127361120477123,,,,,
15.27638190954774,0.5944423132389026,,,,,
15.326633165829147,0.5763259125913234,,,,,
15.376884422110553,0.5584153487267425,,,,,
15.42713567839196,0.5407364826829467,,,,,
15.477386934673367,0.5233126836650032,,,,,
15.527638190954775,0.5061649215731295,,,,,
15.577889447236181,0.48931186495855883,,,,,
15.628140703517587,0.4727699831653747,,,,,
15.678391959798995,0.45655365151815724,,,,,
15.728643216080403,0.44067525851837897,,,,,
15.77889447236181,0.4251453141122644,,,,,
15.829145728643216,0.40997255818933737,,,,,
15.879396984924623,0.3951640685646302,,,,,
15.929648241206031,0.38072536778468435,,,,,
15.979899497487438,0.366660528182521,,,,,
16.030150753768844,0.3529722746850944,,,,,
16.08040201005025,0.3396620849500938,,,,,
16.13065326633166,0.32673028647773944,,,,,
16.180904522613066,0.31417615040620095,,,,,
