Beta,PDF,Best Fit,err_beta_min,err_beta_max,-1sigma,+1sigma
10.0,5.8929431316365674e-08,23.71859296482412,19.045226130653266,32.914572864321606,4.673366834170853,9.195979899497488
10.150753768844222,1.644876440848851e-07,,,,,
10.301507537688442,4.2899427055024886e-07,,,,,
10.452261306532662,1.0505501194373777e-06,,,,,
10.603015075376884,2.426581099540341e-06,,,,,
10.753768844221106,5.308844262162239e-06,,,,,
10.904522613065327,1.1043516031082332e-05,,,,,
11.055276381909547,2.192117058228952e-05,,,,,
11.206030150753769,4.16579428254317e-05,,,,,
11.35678391959799,7.602030769862634e-05,,,,,
11.507537688442211,0.00013359159840783922,,,,,
11.658291457286431,0.0002266597048686254,,,,,
11.809045226130653,0.0003721845445433631,,,,,
11.959798994974875,0.0005927838793944158,,,,,
12.110552763819095,0.0009176601018600487,,,,,
12.261306532663315,0.0013833815739071995,,,,,
12.412060301507537,0.0020344318764274447,,,,,
12.56281407035176,0.002923449520956547,,,,,
12.71356783919598,0.004111098531177015,,,,,
12.8643216080402,0.005665534866091632,,,,,
13.015075376884422,0.007661462159661246,,,,,
13.165829145728644,0.010178799573370296,,,,,
13.316582914572864,0.013301011696613612,,,,,
13.467336683417084,0.017113172885004132,,,,,
13.618090452261306,0.02169985445351493,,,,,
13.768844221105528,0.027142931856097743,,,,,
13.919597989949748,0.033519410337278774,,,,,
14.070351758793969,0.040899362192373064,,,,,
14.22110552763819,0.049344057897636594,,,,,
14.371859296482413,0.05890435845272514,,,,,
14.522613065326633,0.06961941890286338,,,,,
14.673366834170853,0.08151573470144637,,,,,
14.824120603015075,0.09460654466987664,,,,,
14.974874371859297,0.10889158787928808,,,,,
15.125628140703517,0.12435719758604402,,,,,
15.276381909547737,0.14097670387000055,,,,,
15.42713567839196,0.15871110804994124,,,,,
15.577889447236181,0.1775099862590886,,,,,
15.728643216080402,0.19731257655473453,,,,,
15.879396984924622,0.21804900328973228,,,,,
16.030150753768844,0.23964159379921657,,,,,
16.180904522613066,0.2620062453322519,,,,,
16.331658291457288,0.2850538041687287,,,,,
16.482412060301506,0.308691423619034,,,,,
16.633165829145728,0.3328238727642985,,,,,
16.78391959798995,0.35735477306814306,,,,,
16.93467336683417,0.38218774514524784,,,,,
17.08542713567839,0.40722745282886164,,,,,
17.236180904522612,0.4323805361164305,,,,,
17.386934673366834,0.45755642850525946,,,,,
17.537688442211056,0.4826680576234242,,,,,
17.688442211055275,0.507632430897984,,,,,
17.839195979899497,0.5323711103038367,,,,,
17.98994974874372,0.5568105820272934,,,,,
18.140703517587937,0.580882528208029,,,,,
18.29145728643216,0.6045240088381233,,,,,
18.44221105527638,0.6276775624540922,,,,,
18.592964824120603,0.6502912345112599,,,,,
18.743718592964825,0.6723185423314825,,,,,
18.894472361809044,0.6937183853164308,,,,,
19.045226130653266,0.7144549087627509,,,,,
19.195979899497488,0.7344973291428513,,,,,
19.346733668341706,0.7538197281620037,,,,,
19.497487437185928,0.7724008222955235,,,,,
19.64824120603015,0.7902237138784473,,,,,
19.798994974874372,0.8072756291783973,,,,,
19.949748743718594,0.8235476482531444,,,,,
20.100502512562812,0.8390344307824633,,,,,
20.251256281407034,0.8537339414868675,,,,,
20.402010050251256,0.8676471782014873,,,,,
20.552763819095475,0.8807779051726895,,,,,
20.703517587939697,0.8931323936866904,,,,,
20.85427135678392,0.904719171725458,,,,,
21.00502512562814,0.9155487839745152,,,,,
21.155778894472363,0.9256335631788764,,,,,
21.30653266331658,0.934987413557101,,,,,
21.457286432160803,0.9436256067318112,,,,,
21.608040201005025,0.9515645904224116,,,,,
21.758793969849243,0.9588218099637061,,,,,
21.909547738693465,0.9654155425598955,,,,,
22.060301507537687,0.9713647440605495,,,,,
22.21105527638191,0.9766889079398189,,,,,
22.36180904522613,0.9814079360815139,,,,,
22.51256281407035,0.9855420209081578,,,,,
22.66331658291457,0.9891115383458533,,,,,
22.814070351758794,0.9921369510839384,,,,,
22.964824120603012,0.9946387215670256,,,,,
23.115577889447234,0.9966372341456806,,,,,
23.266331658291456,0.9981527258099141,,,,,
23.417085427135678,0.9992052249321969,,,,,
23.5678391959799,0.9998144974587285,,,,,
23.71859296482412,1.0,,,,,
23.86934673366834,0.999780839290568,,,,,
24.020100502512562,0.999175737508662,,,,,
24.17085427135678,0.9982030029682065,,,,,
24.321608040201003,0.996880505720308,,,,,
24.472361809045225,0.9952256576258817,,,,,
24.623115577889447,0.9932553964866003,,,,,
24.77386934673367,0.9909861738461123,,,,,
24.924623115577887,0.9884339460992629,,,,,
25.07537688442211,0.9856141685705483,,,,,
25.22613065326633,0.9825417922486885,,,,,
25.37688442211055,0.9792312628851667,,,,,
25.52763819095477,0.9756965221885487,,,,,
25.678391959798994,0.9719510108668338,,,,,
25.829145728643216,0.9680076732896892,,,,,
25.979899497487438,0.9638789635630786,,,,,
26.130653266331656,0.9595768528247952,,,,,
26.281407035175878,0.9551128375874031,,,,,
26.4321608040201,0.9504979489714701,,,,,
26.58291457286432,0.9457427626845578,,,,,
26.73366834170854,0.9408574096178071,,,,,
26.884422110552762,0.9358515869422314,,,,,
27.035175879396984,0.9307345696009389,,,,,
27.185929648241206,0.9255152221018906,,,,,
27.336683417085425,0.9202020105283643,,,,,
27.487437185929647,0.9148030146908717,,,,,
27.63819095477387,0.9093259403558107,,,,,
27.788944723618087,0.9037781314903608,,,,,
27.93969849246231,0.8981665824733385,,,,,
28.09045226130653,0.892497950226198,,,,,
28.241206030150753,0.8867785662250047,,,,,
28.391959798994975,0.8810144483591347,,,,,
